videoId,title,date,duree_sec,vues,likes,commentaires
AjwAdtlRKf8,"Buy Feastables, Win $10,000",2024-02-17,41,468019317,16404740,36640
ZVt9ZJfWV1c,"Feeding A Dog $1 vs $10,000 Steak",2023-12-14,27,597390466,15824944,31624
rWBOITBjitE,Could You Walk Up A Skyscraper?,2023-12-05,50,497899117,15724382,30738
AjZDwxt7S8w,I Gave Away A House On Halloween,2023-11-10,48,354731696,13679448,36723
aZnqqXaT02g,Giving Car Keys Instead Of Candy On Halloween,2023-11-09,32,395562197,10842709,14924
l9_8_pDTmis,"Furthest Away From Me Wins $10,000",2023-11-02,48,704525886,22054497,40167
n7x4Jj9pdH8,World’s Most Expensive Bed,2023-10-31,48,544735427,21742740,38231
jGAJCAuV3pQ,World’s Most Expensive Coffee,2023-10-19,33,283064665,11391551,28808
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17,50,371237754,12760169,23479
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12,52,700177471,26871688,35809
bvlFjrcpD6s,I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,2023-10-05,23,476324383,30492061,82891
AZlBZuS4hr0,"Guess The Gift, Keep It",2023-10-03,45,981959355,25974039,22934
Gx6VeIIbWwM,"Spot The Hidden People For $10,000",2023-09-28,35,763329825,22029363,31652
CAOY8EKH1qU,I Paid A Random Student’s College Tuition,2023-09-26,37,493597906,24820988,60603
IQxea9UB1nQ,"$100,000,000 Car Doors",2023-09-19,29,1302957949,29917780,42245
zgLhCT7aFCA,Extreme Home Makeover!,2023-09-12,57,423560451,20104764,48443
L5kIXRdwGAI,Katana Vs Bullet,2023-09-07,41,1160555188,38302069,53793
19NmWqv4Alk,How Many School Buses Can We Stack?,2023-09-05,45,515792846,15600012,29466
SGzWIoLAzmY,"Feeding A Cat $10 Vs $10,000 Sushi",2023-08-31,31,402870991,14091665,32345
NnNZLCl78Ao,"Make This Kick, Win Super Bowl Tickets",2023-08-25,52,140458975,5196094,9146
NTZhwAldqwg,Metal Pipe Vs School Bus,2023-08-22,28,530139655,13863181,29374
mKIhHNznt4s,Can You Beat A Girl In Arm Wrestling?,2023-08-17,52,583541372,21225360,39768
O3YVBJ2n5xg,I Ate The World’s Most Poisonous Fish,2023-08-08,32,535790786,22105912,41021
CP82DAKzL1U,I Traded My Car At a Red Light,2023-07-15,47,714862460,27079142,42211
stUofW3whpE,I Buried Treasure in the Bermuda Triangle,2023-07-06,53,523831091,25983126,38040
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03,33,455784664,16773232,26435
ykRq_rp7NhM,I Got Naruto to Subscribe to Me,2023-05-20,20,322453453,13388483,24500
8kggT2ej-lo,Would You Pet a Cheetah in Africa?,2023-05-01,39,927834398,28845498,38732
GGBy50KtvRk,Tipping A Waitress A Car,2023-04-22,38,741955009,30096227,70207
Y4-gFIfGXiQ,Would you go on a Blind Date in Italy?,2023-04-15,51,571874232,24034352,28962
Y0cBiGUuB1Y,I Sent a Subscriber to Disneyland,2023-03-30,27,647306123,29936404,81045
NPYPXWJBTWM,"$10,000 Girl Scout Cookies",2023-03-11,23,728014871,14266553,19716
lglIQkCHO0g,Do Men Lie About Their Height?,2023-02-14,47,597551665,21969510,29836
se50viFJ0AQ,Would You Fly To Paris For A Baguette?,2022-12-08,48,1701126448,57707025,126316
FD-0KG-h2-c,Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19,40,853922651,30861970,54856
